term,polarity
feliz,positive
felicidad,positive
alegre,positive
contento,positive
contenta,positive
amor,positive
amo,positive
genial,positive
increíble,positive
hermoso,positive
hermosa,positive
disfruto,positive
mejor,positive
bien,positive
bueno,positive
buena,positive
encanta,positive
triste,negative
tristeza,negative
deprimido,negative
deprimida,negative
ansioso,negative
ansiosa,negative
miedo,negative
sola,negative
solo,negative
vacío,negative
vacía,negative
dolor,negative
angustia,negative
lloro,negative
llorando,negative
cansado,negative
cansada,negative
agotado,negative
agotada,negative
horrible,negative
terrible,negative
mal,negative
peor,negative
odio,negative
suicidio,negative
infierno,negative
