category,term
first_person_singular,yo
first_person_singular,mi
first_person_singular,mí
first_person_singular,mismo
first_person_singular,misma
first_person_singular,conmigo
first_person_singular,mis
absolutist,siempre
absolutist,nunca
absolutist,nada
absolutist,todo
absolutist,jamás
absolutist,absolutamente
absolutist,completamente
absolutist,totalmente
absolutist,nadie
negative_emotion,triste
negative_emotion,tristeza
negative_emotion,deprimido
negative_emotion,deprimida
negative_emotion,ansioso
negative_emotion,ansiosa
negative_emotion,miedo
negative_emotion,sola
negative_emotion,solo
negative_emotion,vacío
negative_emotion,vacía
negative_emotion,dolor
negative_emotion,angustia
negative_emotion,lloro
negative_emotion,llorando
negative_emotion,cansado
negative_emotion,cansada
negative_emotion,agotado
negative_emotion,agotada
negative_emotion,horrible
negative_emotion,terrible
negative_emotion,mal
negative_emotion,peor
negative_emotion,odio
negative_emotion,suicidio
negative_emotion,morirme
negative_emotion,morir
negative_emotion,infierno
positive_emotion,feliz
positive_emotion,felicidad
positive_emotion,contento
positive_emotion,contenta
positive_emotion,alegre
positive_emotion,alegría
positive_emotion,amor
positive_emotion,amo
positive_emotion,encanta
positive_emotion,genial
positive_emotion,increíble
positive_emotion,hermoso
positive_emotion,hermosa
positive_emotion,disfruto
positive_emotion,disfruté
positive_emotion,mejor
positive_emotion,bien
positive_emotion,bueno
positive_emotion,buena
